case,matter_no,region,project_name,filed_date,approved_date,status,disposition,kv,cost_usd_m,cost_quality,isd_year,work_type,driver,dc_strict,dc_broad,key_doc_kind,key_doc_url,scc_case_url,caption
PUR-2021-00291,142767,NoVA,Line #2011 Extension Cannon Branch to Winters Branch,2021-12-17,,closed,Approved,230,11.7,H,2023,new_line,data_center,1,1,final_order,http://www.scc.virginia.gov/docketsearch/DOCS/7#5t01%21.PDF,https://scc.virginia.gov/docketsearch#/caseDetails/142767,Virginia Electric and Power Company - For approval and certification of electric transmission facilities: Line #2011 Extension from Cannon Branch to Winters Branch
PUR-2021-00280,142675,NoVA,DTC 230 kV Line Loop and DTC Substation,2021-12-03,2022-07-07,closed,Approved,230,102.5,H,2024,new_line|new_substation,data_center,1,1,final_order,http://www.scc.virginia.gov/docketsearch/DOCS/7h5c01%21.PDF,https://scc.virginia.gov/docketsearch#/caseDetails/142675,Virginia Electric and Power Company - Approval and certification of electric transmission facilities: DT 230 kV line loop and DTC substation
PUR-2021-00276,142663,NoVA,Line #514 500 kV Partial Rebuild (CANCELED - superseded),2021-11-18,2022-07-26,closed,Canceled,500,8.9,H,2024,rebuild,reliability_aging,0,0,final_order,http://www.scc.virginia.gov/docketsearch/DOCS/7lc_01%21.PDF,https://scc.virginia.gov/docketsearch#/caseDetails/142663,Virginia Electric and Power Company - For approval and certification of electric transmission facilities: 500 kV Line # 514 Partial Rebuild Project
PUR-2021-00100,142094,NoVA,Beaumeade-Belmont Line #227 Reconductor,2021-05-21,2022-02-08,closed,Approved,230,15.1,H,2023,rebuild|reconductor,load_growth_other,0,1,final_order,http://www.scc.virginia.gov/docketsearch/DOCS/6j@901%21.PDF,https://scc.virginia.gov/docketsearch#/caseDetails/142094,Virginia Electric and Power Company: For Approval and Certification of Electric Transmission Facilities: Beaumeade-Belmont 230 kV Transmission Line #227
PUR-2020-00198,141402,NoVA,Tysons-Spring Hill 230 kV Underground Pilot (Partial Line #2010),2020-09-30,,closed,Approved,230,30.4,H,2025,underground,policy_undergrounding,0,0,final_order,http://www.scc.virginia.gov/docketsearch/DOCS/54#501%21.PDF,https://scc.virginia.gov/docketsearch#/caseDetails/141402,Virginia Electric and Power Company - For approval and certification of electric transmission facilities: Partial Line #2010 230 kV Single Circuit Transmission Line Underground Pilot Project (Tysons-Future Spring Hill Substation)
PUR-2020-00080,140798,NoVA,Bristers-Chancellor / Chancellor-Ladysmith 500 kV Rebuild,2020-05-20,2021-02-11,closed,Approved,500,107.8,H,2023,rebuild,reliability_aging,0,0,final_order,http://www.scc.virginia.gov/docketsearch/DOCS/4rpw01%21.PDF,https://scc.virginia.gov/docketsearch#/caseDetails/140798,Virginia Electric and Power Company - For approval and certification of electric transmission facilities: Bristers-Chancellor Line #552 and Chancellor-Ladysmith Line #581 500 kV Transmission Line Rebuild and Related Projects
PUR-2019-00215,140364,NoVA,Lockridge 230 kV Line Loop and Lockridge Substation,2019-12-19,2020-10-01,closed,Approved,230,35.4,H,2022,new_line|new_substation,load_growth_other,0,1,final_order,http://www.scc.virginia.gov/docketsearch/DOCS/4pbf01%21.PDF,https://scc.virginia.gov/docketsearch#/caseDetails/140364,Virginia Electric and Power Company - For approval and certification of electric transmission facilities: Lockridge 230 kV Line Loop and Lockridge Substation
PUR-2019-00191,140302,NoVA,Evergreen Mills 230 kV Line Loops and Switching Station (Part A),2019-12-02,2021-04-05,closed,Approved,230,21.2,M,2021,new_line|new_substation,data_center,1,1,final_order,http://www.scc.virginia.gov/docketsearch/DOCS/4n4401%21.PDF,https://scc.virginia.gov/docketsearch#/caseDetails/140302,Virginia Electric and Power Company - For approval and certification of electric facilities: Evergreen Mills 230 kV Line Loops and Evergreen Mills Switching Station
PUR-2019-00128,139956,NoVA,Loudoun-Ox 230 kV Transmission Line Partial Rebuild,2019-08-19,2020-06-02,closed,Approved,230,67.5,H,2024,rebuild,reliability_aging,0,1,final_order,http://www.scc.virginia.gov/docketsearch/DOCS/4n8601%21.PDF,https://scc.virginia.gov/docketsearch#/caseDetails/139956,Virginia Electric and Power Company - For approval of electric facilities: Loudoun-Ox 230 kV Transmission Line Partial Rebuild Projects
PUR-2019-00040,139558,NoVA,Potomac Yards Undergrounding + Glebe GIS Conversion,2019-03-21,2019-09-27,closed,Granted,230,34.4,L,,underground,policy_undergrounding,0,0,final_order,http://www.scc.virginia.gov/docketsearch/DOCS/4j2g01%21.PDF,https://scc.virginia.gov/docketsearch#/caseDetails/139558,Virginia Electric and Power Company - For approval and certification of electric facilities: Potomac Yards Undergrounding and Glebe GIS Conversion
PUR-2025-00104,146160,Eastern,Septa-Yadkin #579 Rebuild + Suffolk-Thrasher #2110 Partial Rebuild,2025-06-05,2025-12-11,closed,Decision Rendered,500,248.9,H,2029,rebuild,reliability_aging,0,0,final_order,http://www.scc.virginia.gov/docketsearch/DOCS/89mg01%21.PDF,https://scc.virginia.gov/docketsearch#/caseDetails/146160,Virginia Electric and Power Company - For approval and certification of electric transmission facilities: 500 kV Septa-Yadkin Line #579 Rebuild and 230 kV Suffolk-Thrasher Line #2110 Partial Rebuild
PUR-2024-00105,145268,Eastern,Fentress-Yadkin #588 Rebuild + New #5005 (CVOW deliverability),2024-06-13,2025-02-28,closed,Approved,500,202.2,H,2027,rebuild|new_line|gen_interconnect,reliability_aging,0,0,final_order,http://www.scc.virginia.gov/docketsearch/DOCS/844601%21.PDF,https://scc.virginia.gov/docketsearch#/caseDetails/145268,Virginia Electric and Power Company - For approval and certification of electric transmission facilities: Fentress-Yadkin 500 kV Line #588 Rebuild and New 500 kV Fentress-Yadkin Line #5005
PUR-2023-00203,144657,Eastern,Suffolk Line #246 Structure #246/94 Rebuild,2023-11-16,2024-06-11,closed,Approved,230,38.9,H,2028,rebuild,reliability_aging,0,0,final_order,http://www.scc.virginia.gov/docketsearch/DOCS/7z_l01%21.PDF,https://scc.virginia.gov/docketsearch#/caseDetails/144657,Virginia Electric and Power Company - Application for Approval and Certification of Electric Transmission Facilities: Suffolk - Structure #246/94 230 kV Line #246 Virginia Rebuild Project
PUR-2023-00023,143913,Eastern,Greenwich-Thalia-Lynnhaven Lines #2019/#2007 Rebuild,2023-02-28,2023-08-24,closed,Approved,230,91.7,H,2025,rebuild,reliability_aging,0,0,final_order,http://www.scc.virginia.gov/docketsearch/DOCS/7%8g01%21.PDF,https://scc.virginia.gov/docketsearch#/caseDetails/143913,Virginia Electric and Power Company - For approval and certification of electric transmission facilities: Lines #2019 and #2007 Rebuild Project
PUR-2021-00142,142236,Eastern,Coastal Virginia Offshore Wind onshore transmission (Virginia Facilities),2021-07-26,2022-12-15,closed,Approved,230,1148.5,H,2028,gen_interconnect|new_line|rebuild,generation_interconnection,0,0,final_order,http://www.scc.virginia.gov/docketsearch/DOCS/7n3801%21.PDF,https://scc.virginia.gov/docketsearch#/caseDetails/142236,Virginia Electric and Power Company - For approval and certification of the Coastal Virginia Offshore Wind Commercial Project and Rider Offshore Wind
PUR-2021-00010,141724,Eastern,Lightfoot-Skiffes Lines #2113/#2154 Rebuild,2021-01-21,2021-09-15,closed,Approved,230,27.4,H,2023,rebuild,reliability_aging,0,0,final_order,http://www.scc.virginia.gov/docketsearch/DOCS/5mgk01%21.PDF,https://scc.virginia.gov/docketsearch#/caseDetails/141724,Virginia Electric and Power Co - For approval and certification of electric transmission facilities: 230 kV Lines #2113 and #2154 Transmission Line Rebuilds and Related Projects
PUR-2020-00247,141553,Eastern,Lanexa-Northern Neck Line #224 Rebuild + New #2208,2020-10-30,,closed,Approved,230,96.7,H,2023,rebuild|new_line,reliability_aging,0,0,final_order,http://www.scc.virginia.gov/docketsearch/DOCS/647%2401%21.PDF,https://scc.virginia.gov/docketsearch#/caseDetails/141553,Virginia Electric and Power Company - For approval and certification of electric transmission facilities: Lanexa-Northern Neck 230 kV Line #224 Rebuild and New 230 kV Line #2208
PUR-2019-00078,139732,Eastern,Suffolk-Swamp Line #247 Virginia Rebuild,2019-05-20,2019-11-08,closed,Approved,230,17.0,L,2022,rebuild,reliability_aging,0,0,final_order,http://www.scc.virginia.gov/docketsearch/DOCS/4jqd01%21.PDF,https://scc.virginia.gov/docketsearch#/caseDetails/139732,Virginia Electric and Power Company d/b/a Dominion Virginia Power - For Approval and Certification of Electric Facilities Suffolk-Swamp 230 kV Transmission Line #247 Virginia Rebuild Project
PUR-2023-00141,144338,Southern,Line #235 Clover Substation to Structure #235/310 Rebuild,2023-08-10,2024-02-21,closed,Approved,230,36.3,M,2026,rebuild,reliability_aging,0,0,final_order,http://www.scc.virginia.gov/docketsearch/DOCS/7x#101%21.PDF,https://scc.virginia.gov/docketsearch#/caseDetails/144338,Virginia Electric and Power Company - For Approval and Certification of Electric Transmission Facilities: Line #235 230 kV Rebuild from Clover Substation to Structure #235/310
PUR-2023-00088,144113,Southern,Finneywood-Jeffress Lines + Jeffress Switching Station,2023-05-24,2024-01-16,closed,Approved,230,134.7,H,2026,new_line|new_substation,data_center,1,1,final_order,http://www.scc.virginia.gov/docketsearch/DOCS/7wp701%21.PDF,https://scc.virginia.gov/docketsearch#/caseDetails/144113,Virginia Electric and Power Company - For approval and certification of electric transmission facilities: 230 kV Finneywood-Jeffress Lines and Jeffress Switching Station
PUR-2022-00175,143624,Southern,Butler Farm-Clover / Butler Farm-Finneywood 230 kV Lines,2022-10-21,2023-05-31,closed,Approved,230,214.0,H,2025,new_line|new_substation,load_growth_other,0,0,final_order,http://www.scc.virginia.gov/docketsearch/DOCS/7skr01%21.PDF,https://scc.virginia.gov/docketsearch#/caseDetails/143624,"Virginia Electric and Power Company - For approval and certification of electric transmission facilities: Butler Farm to Clover 230 kV Line, Butler Farm to Finneywood 230 kV Line"
PUR-2022-00167,143507,Southern,South Hill Project - Unity Switching Station + Tunstall-Unity Lines,2022-10-06,2023-06-14,closed,Approved,500,229.1,H,2025,new_line|new_substation,data_center,1,1,final_order,http://www.scc.virginia.gov/docketsearch/DOCS/7st_01%21.PDF,https://scc.virginia.gov/docketsearch#/caseDetails/143507,"Virginia Electric and Power Company - For approval and certification of electric transmission facilities:500-230 kV Unity Switching Station,230 kV Tunstall-Unity Lines #2259, #2262,230-36.5 kV Tunstall, Evans Creek, Raines Substations and 230 kV, et al."
PUR-2021-00137,142225,Southern,Line #235 Extension to Cloud Switching Station,2021-07-01,2024-03-29,closed,Approved,230,101.5,H,2024,new_line,load_growth_other,0,0,final_order,http://www.scc.virginia.gov/docketsearch/DOCS/6mg001%21.PDF,https://scc.virginia.gov/docketsearch#/caseDetails/142225,Virginia Electric and Power Co. - For approval and certification of electric transmission facilities: Line #235 Extension to Cloud 230 kV and Related Projects
PUR-2020-00269,141594,Southern,Clubhouse-Dry Bread #2201 + Dry Bread-Lakeview #254 Rebuild,2020-11-24,2021-07-27,closed,Approved,230,17.0,H,2023,rebuild,reliability_aging,0,0,final_order,http://www.scc.virginia.gov/docketsearch/DOCS/5@k@01%21.PDF,https://scc.virginia.gov/docketsearch#/caseDetails/141594,Virginia Electric and Power Company - For approval and certification of electric transmission facilities: Clubhouse-Dry Bread Line #2201 and Dry Bread-Lakeview Line #254 230 kV Virginia Rebuild Project
PUR-2024-00181,145555,Western,Line #2090 Extension and Tributary Switching Station,2024-10-03,2025-06-30,closed,Approved,230,32.3,H,2027,new_line|new_substation,data_center,1,1,final_order,http://www.scc.virginia.gov/docketsearch/DOCS/86%24701%21.PDF,https://scc.virginia.gov/docketsearch#/caseDetails/145555,Virginia Electric and Power Company - For Approval and Certification of Electric Transmission Facilities: 230 kV Line #2090 Extension and Tributary Switching Station
PUR-2024-00179,145544,Western,Meadowville 230 kV Electric Transmission Project,2024-10-11,2025-06-26,closed,Approved,230,189.0,H,2028,new_line|new_substation,data_center,1,1,final_order,http://www.scc.virginia.gov/docketsearch/DOCS/86gl01%21.PDF,https://scc.virginia.gov/docketsearch#/caseDetails/145544,Virginia Electric and Power Company - For approval and certification of electric transmission facilities: Meadowville 230 kV Electric Transmission Project
PUR-2024-00159,145510,Western,Lines #256 #2090/2335 Partial Rebuild + New #2372/#2378 (New Post),2024-08-29,2025-05-28,closed,Approved,230,117.7,H,2028,rebuild|new_line,load_growth_other,0,1,final_order,http://www.scc.virginia.gov/docketsearch/DOCS/85tg01%21.PDF,https://scc.virginia.gov/docketsearch#/caseDetails/145510,Virginia Electric and Power Company: For approval and certification of electric transmission facilities: Partial Rebuildof Lines #256 and #2090/2355 and New230 kV Lines #2372 (Ladysmith - New Post)and #2378 (Lee's Hill - New Post)
PUR-2024-00074,145157,Western,Dooms-Harrisonburg Lines #260/#272 Rebuild,2024-05-01,2025-02-20,closed,Approved,230,57.0,H,2027,rebuild,reliability_aging,0,0,final_order,http://www.scc.virginia.gov/docketsearch/DOCS/83xl01%21.PDF,https://scc.virginia.gov/docketsearch#/caseDetails/145157,Virginia Electric and Power Company - For Approval and Certification of Electric Transmission Facilities: Dooms-Harrisonburg 230 kV Lines #260 and #272 Rebuild Project
PUR-2021-00272,142659,Western,Line #293 (230 kV) + Line #83 (115 kV) Rebuild,2021-11-15,2022-08-31,closed,Approved,230,40.8,H,2025,rebuild,reliability_aging,0,0,final_order,http://www.scc.virginia.gov/docketsearch/DOCS/7n%24r01%21.PDF,https://scc.virginia.gov/docketsearch#/caseDetails/142659,Virginia Electric and Power Company - For approval and certification of electric transmission facilities; 230 kV Line #293 and 115 kV Line #83 Rebuild Project
PUR-2019-00049,139581,Western,Mt. Storm-Valley Line #550 500 kV Rebuild,2019-04-02,2019-11-06,closed,Approved,500,288.2,H,2021,rebuild,reliability_aging,0,0,final_order,http://www.scc.virginia.gov/docketsearch/DOCS/4jpq01%21.PDF,https://scc.virginia.gov/docketsearch#/caseDetails/139581,Virginia Electric and Power Company for Approval and Certification of Electric Facilities Mt. Storm - Valley Line #550 500 kV Transmission Line Rebuild
PUR-2026-00082,146972,Central,Elmont-Ladysmith Line #2490 230 kV,2026-06-08,,pending,,500,55.6,H,2026,new_line,reliability_aging,0,0,order_notice_hearing,http://www.scc.virginia.gov/docketsearch/DOCS/8d@r01%21.PDF,https://scc.virginia.gov/docketsearch#/caseDetails/146972,Virginia Electric and Power Company - For Approval and Certification of Electric Transmission Facilities: 230 kV Elmont-Ladysmith Line #2490
PUR-2026-00050,146896,Central,Charlottesville-Gordonsville 230 kV Rebuild,2026-04-24,,pending,,230,97.0,H,2028,rebuild,load_growth_other,0,0,order_notice_hearing,http://www.scc.virginia.gov/docketsearch/DOCS/8cj401%21.PDF,https://scc.virginia.gov/docketsearch#/caseDetails/146896,Virginia Electric and Power Company - For Approval and Certification of Electric Transmission Facilities: Charlottesville-Gordonsville 230 kV Rebuild Project
PUR-2026-00009,146726,Central,West Creek 230 kV Loop and Substation (Eli Lilly pharma load),2026-01-28,,pending,,230,97.5,H,2028,new_line|new_substation,load_growth_other,0,0,he_report,http://www.scc.virginia.gov/docketsearch/DOCS/8dqg01%21.PDF,https://scc.virginia.gov/docketsearch#/caseDetails/146726,Virginia Electric and Power Company - For approval and certification of electric transmission facilities: 230 kV West Creek Loop and Substation
PUR-2025-00189,146558,Central,Charlottesville-Dooms Lines #233/#291 Rebuild,2025-10-29,2026-08-17,closed,Approved,230,120.2,H,2029,rebuild,load_growth_other,0,0,final_order,http://www.scc.virginia.gov/docketsearch/DOCS/8#2501%21.PDF,https://scc.virginia.gov/docketsearch#/caseDetails/146558,Virginia Electric and Power Company - For an approval and certification of electric transmission facilities: Charlottesville-Dooms Lines 233 and 291 rebuild
PUR-2025-00154,146475,Central,Chesterfield-Lanexa Corridor Lines #92/#192/#217/#287/#2129 Partial Rebuild,2025-09-10,2026-03-02,closed,Approved,230,145.8,H,2029,rebuild,reliability_aging,0,1,final_order,http://www.scc.virginia.gov/docketsearch/DOCS/8@s501%21.PDF,https://scc.virginia.gov/docketsearch#/caseDetails/146475,"Virginia Electric and Power Company - For Approval and Certification of Electric Transmission Facilities: Chesterfield-Lanexa Corridor Lines #92, #I92, #217, #287, and #2129 Partial Rebuild"
